Person,Surname,Given,Call,Suffix,Prefix,Title,Gender,Birth date,Birth place,Birth source,Baptism date,Baptism place,Baptism source,Death date,Death place,Death source,Burial date,Burial place,Burial source,Note
[I0418],,Albert of_Prussia,,,,,male,1809,,,,,,1872,,,,,,
[I0311],,Albert of_Schleswig- Holstein,,,,,male,1869,,,,,,1931,,,,,,
[I1118],,Albert_I,,,,,male,1875-04-08,[P0235],,,,,1934-02-17,[P0392],,,,,
[I0631],,Albert_I of_Monaco,,,,,male,,,,,,,,,,,,,
[I0691],,Albrecht (Albert),,,,,male,1905,,,,,,,,,,,,
[I2053],,Aldfrid of_Northumbria,,,,,male,,,,,,,,,,,,,
[I0877],,Alexander,,,,,male,1945,,,,,,,,,,,,
[I1460],,Alexander,,,,,male,,,,,,,,,,,,,
[I1470],,Alexander,,,,,male,about 1454,,,,,,1485,,,,,,
[I1680],,Alexander,,,,,male,1851,,,,,,1884,,,,,,
[I1689],,Alexander,,,,,male,1818,,,,,,1848,,,,,,
[I2630],,Alexander,,,,,male,1933,,,,,,1937,,,,,,
[I2866],,Alexander,,,,,male,1534,,,,,,,,,,,,
[I2871],,Alexander,,,,,male,,,,,,,1307,,,,,,
[I0280],,Alexander George of_Teck,,,,,male,1874,,,,,,1957,,,,,,
[I0090],,Alexander Patrick Gregers,,,,,male,1974-10-24,[P0064],,,,,,,,,,,
[I0486],,Alexander of_Bulgaria,,,,,male,1857,,,,,,1893,,,,,,
[I0026],,Alexander of_Carisbrooke,,,,,male,1886,,,,,,1960-02-23,,,,[P0035],,
[I0347],,Alexander of_Hesse and_the_Rhine,,,,,male,1823,,,,,,1888,,,,,,
[I0303],,Alexander of_Wurttemberg,,,,,male,1804,,,,,,1885,,,,,,
[I0881],,Alexander of_Yugoslavia,,,,,male,1982,[P0356],,,,,,,,,,,
[I0440],,Alexander_I of_Yugoslavia,,,,,male,1888,,,,,,1934,,,,,,
[I1514],,Alexander_I the_Fierce,,,,,male,1078,,,,,,1124,,,,,,
[I1886],,Alexander_II,,,,,male,1198,,,,,,1249,,,,,,
[I1585],,Alexander_III,,,,,male,1241,,,,,,1286,,,,,,
[I0098],,Alexandra,,,,,female,1878,,,,,,1942,,,,,,
[I0125],,Alexandra,,,,,female,1891,,,,,,1959-02-26,,,,[P0097],,
[I2667],,Alexandra,,,,,female,1838,,,,,,1900,,,,,,
[I0039],,"Alexandra Fedorovna ""Alix""",,,,,female,1872-06-06,[P0011],,,,,1918-07-16,[P0048],,,,,
[I0012],,"Alexandra of_Denmark ""Alix""",,,,,female,1844-12-01,[P0018],,,,,1925-11-20,[P0019],,,[P0020],,
[I0163],,Alexandra of_Greece,,,,,female,1870,,,,,,1891,,,,,,
[I0474],,Alexandra of_Greece,,,,,female,1921,,,,,,,,,,,,
[I0914],,Alexandra of_Hanover,,,,,female,,,,,,,,,,,,,
[I0549],,Alexandra of_Schleswig-,,,,,female,1887,,,,,,1957,,,,,,
[I1036],,Alexandra of_Ysenburg_and Budingen,,,,,female,1938,,,,,,,,,,,,
[I1133],,Alexandre,,,,,male,1942,,,,,,,,,,,,
[I0523],,Alexandrine,,,,,female,1915,,,,,,1980,,,,,,
[I2654],,Alexandrine,,,,,female,1803,,,,,,1892,,,,,,
[I2700],,Alexandrine Louise,,,,,female,1914,,,,,,1962,,,,,,
[I2909],,Alexandrine of_Baden,,,,,female,1820,,,,,,1904,,,,,,
[I0607],,Alexandrine of_Mecklenburg- Schwerin,,,,,female,1879-12-24,[P0241],,,,,1952-12-28,[P0242],,,,,
[I1774],,Alfgar of_Mercia,,,,,male,,,,,,,,,,,,,
[I1791],,Alfgar of_Wiltshire,,,,,male,,,,,,,,,,,,,
[I1775],,Alfhelm of_Northhampton,,,,,male,,,,,,,,,,,,,
[I1269],,Alfonso,,,,,male,1273-11-24,[P0460],,,,,1284-08-19,[P0004],,,,,
[I2149],,Alfonso,,,,,male,,,,,,,,,,,,,
[I1891],,Alfonso_IX,,,,,male,,,,,,,1230,,,,,,
[I1520],,Alfonso_VIII,,,,,male,1155,,,,,,1214,,,,,,
[I1749],,Alfonso_X the_Wise,,,,,male,about 1226,,,,,,1284,[P0596],,,,,
[I0683],,Alfonso_XII,,,,,male,1857,[P0214],,,,,1885,,,,,,
[I0409],,Alfonso_XIII,,,,,male,1886,,,,,,1941,[P0196],,,,,
[I0095],,Alfred,,,,,male,1874,,,,,,1899,,,,,,
[I1767],,Alfred Athling,,,,,male,,,,,,,1036,,,,,,
[I0006],,Alfred Ernest Albert,,,,,male,1844-08-06,[P0004],,,,,1900-07-30,[P0012],,,,,
[I1964],,Alfred the_Great,,,,,male,849,[P0602],,,,,899,,,,,,
[I1273],,Alice,,,,,female,1279-03-12,[P0431],,,,,1291,,,,,,
[I2153],,Alice,,,,,female,1961,,,,,,,,,,,,
[I0005],,Alice Maud Mary,,,,,female,1843-04-25,[P0006],,,,,1878-12-14,[P0011],,,,,
[I0532],,Alice de_Courtenay,,,,,female,,,,,,,,,,,,,
[I0024],,Alice of_Athlone,,,,,female,1883,,,,,,1981-01-00,,,,,,
[I0101],,Alice of_Battenberg,,,,,female,1885,,,,,,about 1969,[P0006],,,,,
[I2155],,Alistair Arthur of_Connaught_2nd,,,,,male,,,,,,,1943,,,,,,
[I0648],,Aloys of_Liechtenstein,,,,,male,,,,,,,,,,,,,
[I2481],,Alphonse,,,,,male,,,,,,,1271,,,,,,
[I0594],,Alphonso,,,,,male,1941,,,,,,1956,[P0196],,,,,
[I0430],,Alphonso of_Cavadonga,,,,,male,1907,,,,,,1938,,,,,,
[I2890],,Alphonso of_Portugal,,,,,male,1475,,,,,,1491,,,,,,
[I2265],,Alpin,,,,,male,,,,,,,834,,,,,,
[I1695],,Amalia,,,,,female,1818-12-21,[P0587],,,,,1875-05-20,[P0407],,,[P0245],,
[I2656],,Amalia,,,,,female,1830,,,,,,1872,,,,,,
[I0356],,Amalie of_Wurttemberg,,,,,female,,,,,,,1848,,,,,,
[I0306],,Amelie,,,,,female,1838,,,,,,1893,,,,,,
[I1182],,Amulf,,,,,male,1852,,,,,,1907,,,,,,
[I1939],,Anarawd,,,,,male,,,,,,,,,,,,,
[I2696],,Anastasia,,,,,female,1860,,,,,,1922,,,,,,
[I0911],,Andreas,,,,,male,1955,,,,,,,,,,,,
[I1051],,Andreas of_Leiningen,,,,,male,,,,,,,,,,,,,
[I0875],,Andrej of_Yugoslavia,,,,,male,1929,[P0354],,,,,,,,,,,
[I1562],,Andrew,,,,,male,1897,,,,,,,,,,,,
[I0104],,Andrew of_Greece,,,,,male,1882,,,,,,1944,,,,,,
[I1931],,Angharad,,,,,female,,,,,,,,,,,,,
[I1959],,Angharad,,,,,female,,,,,,,,,,,,,
[I2915],,Ann Marie Louise,,,,,female,1627,,,,,,1693,,,,,,
[I0499],,Anna,,,,,female,1843,,,,,,1865,,,,,,
[I1635],,Anna,,,,,female,1487-08-27,,,,,,1547-05-03,[P0582],,,,,
[I2825],,Anna,,,,,female,1956,,,,,,,,,,,,
[I1169],,Anna Amelia,,,,,female,1725,,,,,,1787,,,,,,
[I1321],,Anna Leopoldovna of_Brunswick,,,,,female,,,,,,,,,,,,,
[I2128],,Anna Maria,,,,,female,1669,,,,,,1728,,,,,,
[I0654],,Anna Pavlovna,,,,,female,1795-01-18,[P0251],,,,,1865-03-01,[P0176],,,,,
[I1624],,Anna Sophie,,,,,female,1693-04-16,,,,,,1743-01-07,[P0574],,,,,
[I0490],,Anna of_Montenegro Princess,,,,,female,,,,,,,,,,,,,
[I1461],,Annabella,,,,,female,,,,,,,1401,,,,,,
[I0994],,Anne,,,,,female,,,,,,,1476,,,,,,
[I1004],,Anne,,,,,female,1475-11-02,[P0374],,,,,1511-11-23,,,,,,
[I2121],,Anne,,,,,female,,,,,,,,,,,,,
[I2544],,Anne,,,,,female,1461,,,,,,1522,,,,,,
[I1628],,Anne Catherine,,,,,female,1575-06-26,,,,,,1612-03-29,,,,,,
[I1677],,Anne Dorothy Maltoft-Nielsen,,,,,female,1947,,,,,,,,,,,,
[I0696],,Anne Sophia,,,,,female,1686-05-12,[P0004],,,,,1687-02-02,[P0004],,,,,
[I2856],,Anne Sophia,,,,,female,1647,,,,,,1717,,,,,,
[I1721],,Anne of_Albemarle,,,,,female,,,,,,,1789,,,,,,
[I0920],,Anne of_Austria,,,,,female,1601,,,,,,1666,,,,,,
[I2135],,Anne of_Austria,,,,,female,1549,,,,,,1580,,,,,,
[I1413],,Anne of_Bohemia,,,,,female,1366-05-11,[P0540],,,,,before 1394-06-03,[P0427],,,[P0174],,
[I0469],,Anne of_Bourbon-Parma,,,,,female,1923-09-18,[P0112],,,,,,,,,,,
[I0970],,Anne of_Bourbon-Parma,,,,,female,,,,,,,,,,,,,
[I2545],,Anne of_Brittany,,,,,female,1477,,,,,,1514,,,,,,
[I2548],,Anne of_Brittany,,,,,female,1476,,,,,,1514-01-09,,,,,,
[I1596],,Anne of_Burgundy,,,,,female,,,,,,,1432-11-14,[P0112],,,,,
[I0853],,Anne of_Cleves,,,,,female,1515-09-22,[P0341],,,,,1557-07-17,[P0342],,,[P0174],,
[I2546],,Anne of_Cleves,,,,,female,,,,,,,,,,,,,
[I0726],,Anne of_Denmark,,,,,female,1574-10-14,[P0277],,,,,1619-03-04,[P0278],,,[P0174],,
[I1603],,Anne of_Gloucester,,,,,female,,,,,,,,,,,,,
[I2535],,Anne of_Kiev,,,,,female,about 1024,,,,,,about 1066,,,,,,
[I2344],,Anne of_York,,,,,female,,,,,,,1511,,,,,,
[I0472],,Anne-Marie of_Denmark,,,,,female,1946-08-30,[P0150],,,,,,,,,,,
[I2580],,Ansgarde of_Burgundy,,,,,female,,,,,,,,,,,,,
[I1215],,Antoine de_Bourbon of_France,,,,,male,,,,,,,,,,,,,
[I2973],,Antoinette,,,,,female,,,,,,,,,,,,,
[I1186],,Antoinette of_Luxembourg,,,,,female,1899,,,,,,1954,,,,,,
[I1100],,Antonia of_Portugal,,,,,female,1845,,,,,,1913,,,,,,
[I2875],,Antonia of_Sicily,,,,,female,1784,,,,,,1806,,,,,,
[I2220],,Aoife (Eva),,,,,female,,,,,,,,,,,,,
[I0119],,Aribert of_Anhalt,,,,,male,1864,,,,,,1933,,,,,,
[I1826],,Arnold,,,,,male,,,,,,,,,,,,,
[I2593],,Arnulf,,,,,male,about 863,,,,,,899,,,,,,
[I1507],,Arthur,,,,,male,1187,,,,,,1203,,,,,,
[I0009],,Arthur William Patrick,,,,,male,1850-05-01,[P0006],,,,,1942-01-16,[P0015],,,,,
[I0122],,Arthur of_Connaught,,,,,male,1883,,,,,,1938,,,,,,
[I1129],,Astrid,,,,,female,1962,,,,,,,,,,,,
[I0959],,Astrid Maud Ingeborg,,,,,female,1932,,,,,,,,,,,,
[I0599],,Astrid of_Sweden,,,,,female,1905-11-17,,,,,,1935-08-29,[P0233],,,[P0234],,
[I1753],,Athelstan,,,,,unknown,,,,,,,,,,,,,
[I1773],,Athelstan,,,,,male,,,,,,,,,,,,,
[I1799],,Athelstan,,,,,male,895,,,,,,940,,,,[P0598],,
[I1968],,Athelstan,,,,,male,,,,,,,,,,,,,
[I1975],,Athelstan,,,,,male,,,,,,,,,,,,,
[I0561],,Augusta,,,,,female,1780,,,,,,1841,,,,,,
[I2861],,Augusta,,,,,female,1580,,,,,,1639,,,,,,
[I0135],,Augusta Caroline,,,,,female,1822,,,,,,1916,,,,,,
[I2614],,Augusta Reuss-Ebersdorf,,,,,female,1757,,,,,,1831,,,,,,
[I1137],,Augusta Wilhelmine of_Hesse-,,,,,female,1765-04-14,[P0395],,,,,1796-03-30,[P0396],,,,,
[I1179],,Augusta of_Austria- Tuscany,,,,,female,1825,,,,,,1864,,,,,,
[I2436],,Augusta of_Bavaria,,,,,female,,,,,,,,,,,,,
[I1069],,Augusta of_Brunswick,,,,,female,1764,,,,,,1788,,,,,,
[I0134],,Augusta of_Hesse-Cassel,,,,,female,1797,,,,,,1889,,,,,,
[I0332],,Augusta of_Saxe-Gotha,,,,,female,1719-11-30,[P0184],,,,,1772-02-08,[P0113],,,,,
[I0427],,Augusta of_Saxe-Weimar,,,,,female,1811,,,,,,1890,,,,,,
[I0402],,Augusta of_Schleswig- Holstein-,,,,,female,1858-10-22,[P0194],,,,,1921-04-11,[P0032],,,,,
[I0423],,Augustus William,,,,,male,1887,,,,,,1949,,,,,,
[I0568],,Augustus William,,,,,male,1722,,,,,,1758,,,,,,
[I1587],,Aveline de_Forz,,,,,female,,,,,,,1274-11-10,[P0561],,,,,
[I2830],,Axel of_Denmark,,,,,male,,,,,,,,,,,,,
[I2002],,Baeldaeg,,,,,male,,,,,,,,,,,,,
[I1399],,Baldwin,,,,,male,about 1126,,,,,,before 1135-12-02,[P0028],,,,,
[I1988],,Baldwin_II of_Flanders,,,,,male,,,,,,,,,,,,,
[I1850],,Baldwin_V of_Flanders,,,,,male,,,,,,,,,,,,,
[I1115],,Baudouin,,,,,male,1869,,,,,,1891,,,,,,
[I0601],,Baudouin_I of_the_Belgians,,,,,male,1930-09-07,[P0237],,,,,,,,,,,
[I0099],,Beatrice,,,,,female,1884,,,,,,1966,,,,,,
[I0433],,Beatrice,,,,,female,1909,,,,,,,,,,,,
[I1275],,Beatrice,,,,,female,about 1286,[P0465],,,,,,,,,,,
[I1284],,Beatrice,,,,,female,1242-06-25,[P0460],,,,,1275-03-24,[P0028],,,,,
[I1745],,Beatrice,,,,,female,,,,,,,,,,,,,
[I0011],,Beatrice Mary Victoria,,,,,female,1857-04-14,[P0006],,,,,1944-10-26,[P0017],,,,,
[I1583],,Beatrix of_Falkenburg,,,,,female,about 1253,,,,,,1277-10-17,,,,,,
[I0661],,Beatrix of_Netherlands,,,,,female,1938-01-31,[P0254],,,,,,,,,,,
[I2011],,Beaw,,,,,male,,,,,,,,,,,,,
[I2017],,Bedwig,,,,,male,,,,,,,,,,,,,
[I1672],,Benedikte,,,,,female,1944,,,,,,,,,,,,
[I0942],,Benjamin,,,,,male,1978,,,,,,,,,,,,
[I2255],,Beoedhe,,,,,male,,,,,,,,,,,,,
[I1271],,Berengaria,,,,,female,1276,[P0462],,,,,about 1279,,,,,,
[I1747],,Berengaria,,,,,female,1171,,,,,,1246,,,,,,
[I1508],,Berengaria of_Navarre,,,,,female,1163,,,,,,1230,,,,,,
[I2565],,Bernard,,,,,male,about 799,,,,,,818,,,,,,
[I1924],,Bernard of_Neufmarche,,,,,male,,,,,,,,,,,,,
[I0403],,Bernard of_Saxe- Meiningen,,,,,male,1851,,,,,,1928,,,,,,
[I0660],,Bernhard of_Lippe- Biesterfeld,,,,,male,1911-06-29,[P0253],,,,,,,,,,,
[I1921],,Bertha,,,,,female,,,,,,,,,,,,,
[I2610],,Bertha,,,,,female,,,,,,,783,,,,,,
[I2462],,Bertha of_Burgundy,,,,,female,about 962,,,,,,,,,,,,
[I2455],,Bertha of_Holland,,,,,female,,,,,,,1093,,,,,,
[I2557],,Bertha of_Toulouse,,,,,female,,,,,,,,,,,,,
[I2554],,Berthe,,,,,female,,,,,,,,,,,,,
[I0479],,Berthold of_Baden,,,,,male,1906,,,,,,1963,,,,,,
[I2823],,Bertil,,,,,male,1925,,,,,,,,,,,,
[I0448],,Bertil Gustaf Oscar,,,,,male,1912-02-28,,,,,,,,,,,,
[I2456],,Bertrada de_Montfort,,,,,female,,,,,,,,,,,,,
[I2243],,Bethoc,,,,,female,,,,,,,,,,,,,
[I2767],,Bettina,,,,,female,1974,,,,,,,,,,,,
[I2745],,Birgitta,,,,,female,1933,,,,,,,,,,,,
[I2806],,Birgitta,,,,,female,1953,,,,,,,,,,,,
[I2527],,Birgitta of_Sweden,,,,,female,1937-01-19,,,,,,,,,,,,
[I2768],,Bjorn,,,,,male,1975,,,,,,,,,,,,
[I1227],,Blanche,,,,,female,1392,[P0420],,,,,1409-05-21,[P0425],,,,,
[I1238],,Blanche,,,,,female,1342-03-00,[P0440],,,,,1342-03-00,[P0440],,,,,
[I1276],,Blanche,,,,,female,1290,,,,,,1290,,,,,,
[I1495],,Blanche of_Artois,,,,,female,,,,,,,1302-05-02,,,,,,
[I2491],,Blanche of_Burgundy,,,,,female,about 1296,,,,,,1326,,,,,,
[I1742],,Blanche of_Castile,,,,,female,1188,,,,,,1252,,,,,,
[I1243],,Blanche of_Lancaster,,,,,female,1341,,,,,,1369-09-12,[P0443],,,,,
[I2497],,Blanche of_Navarre,,,,,female,,,,,,,1398,,,,,,
[I1933],,Bleddyn,,,,,male,,,,,,,,,,,,,
[I1814],,Boleslaw_II,,,,,male,,,,,,,,,,,,,
[I2519],,Bonne of_Luxemburg,,,,,female,,,,,,,1349,,,,,,
[I2588],,Boso,,,,,male,,,,,,,887,,,,,,
[I2212],,Brian Boru,,,,,male,,,,,,,,,,,,,
[I2199],,Brian_Catha An_Eanaigh,,,,,male,,,,,,,,,,,,,
[I1007],,Bridget,,,,,female,1480-11-10,[P0375],,,,,1517,[P0377],,,,,
[I2001],,Brond,,,,,male,,,,,,,,,,,,,
[I2601],,Bruno of_Cologne,,,,,male,,,,,,,,,,,,,
[I1980],,Burghred,,,,,male,,,,,,,,,,,,,
[I1937],,Cadell,,,,,male,,,,,,,909,,,,,,
[I2184],,Cadell,,,,,male,,,,,,,,,,,,,
[I1946],,Cadwallon,,,,,male,,,,,,,,,,,,,
[I1548],,Canute_II the_Great,,,,,male,about 995,,,,,,1035-11-12,[P0556],,,[P0557],,
[I2807],,Carl,,,,,male,1955,,,,,,,,,,,,
[I2774],,Carl Bernadotte,,,,,male,1890,,,,,,1977,,,,,,
[I2718],,Carl Christian,,,,,male,1962-04-05,,,,,,,,,,,,
[I2738],,Carl Gustaf Oscar,,,,,male,1911-01-10,,,,,,,,,,,,
[I2726],,Carl Gustaf Victor,,,,,male,1975-08-08,,,,,,,,,,,,
[I0449],,Carl Johan Arthur,,,,,male,1916-10-31,,,,,,,,,,,,
[I2815],,Carl Johann,,,,,male,1970,,,,,,,,,,,,
[I2722],,Carl Otto Edmund,,,,,male,1965-03-22,,,,,,,,,,,,
[I2447],,Carl Philip,,,,,male,1979-05-13,,,,,,,,,,,,
[I0603],,Carl_XVI Gustav,,,,,male,1946-04-30,[P0238],,,,,,,,,,,
[I2572],,Carloman,,,,,male,about 828,,,,,,880,,,,,,
[I2578],,Carloman,,,,,male,,,,,,,876,,,,,,
[I2582],,Carloman,,,,,male,,,,,,,884,,,,,,
[I2611],,Carloman,,,,,male,about 751,,,,,,771,,,,,,
[I1686],,Carlos Hugo,,,,,male,1930,,,,,,,,,,,,
[I2639],,Carlos Zurita_y_Delgado,,,,,male,1943,,,,,,,,,,,,
[I0575],,Caroline,,,,,female,1743,,,,,,1787,,,,,,
[I1639],,Caroline,,,,,female,1747,,,,,,1820,,,,,,
[I1648],,Caroline,,,,,female,1796-06-22,[P0242],,,,,1881-03-09,[P0146],,,,,
[I1651],,Caroline,,,,,female,1821-01-10,[P0586],,,,,1876-06-01,[P0586],,,,,
[I1656],,Caroline,,,,,female,1793,,,,,,1881,,,,,,
[I0143],,Caroline Amelia of_Brunswick,,,,,female,1768,,,,,,1821,,,,,,
[I2896],,Caroline Erbach-Schonberg,,,,,female,1727,,,,,,1795,,,,,,
[I1670],,Caroline Mathilde,,,,,female,1912,,,,,,,,,,,,
[I0322],,Caroline of_Ansbach,,,,,female,1683,,,,,,1737,,,,,,
[I0626],,Caroline of_Baden,,,,,female,1776-07-13,[P0209],,,,,1841-11-13,[P0244],,,[P0245],,
[I1724],,Caroline of_Lothian,,,,,female,,,,,,,1778,,,,,,
[I0302],,Caroline of_Nassau- Usingen,,,,,female,1762,,,,,,1823,,,,,,
[I2627],,Caroline of_Nidda,,,,,female,1848,,,,,,1879,,,,,,
[I0517],,Caroline of_Zweibrucken,,,,,female,,,,,,,,,,,,,
[I2782],,Catharina,,,,,female,1926,,,,,,,,,,,,
[I2769],,Catherina,,,,,female,1977,,,,,,,,,,,,
[I0714],,Catherine,,,,,female,1671-02-09,[P0259],,,,,1671-12-05,[P0269],,,,,
[I1006],,Catherine,,,,,female,about 1479-08-14,[P0375],,,,,1527-11-15,[P0376],,,,,
[I2502],,Catherine,,,,,female,,,,,,,,,,,,,
[I0833],,Catherine of_Aragon,,,,,female,1485-12-15,[P0331],,,,,1536-01-07,[P0332],,,[P0333],,
[I0752],,Catherine of_Braganza,,,,,female,1638-11-25,[P0303],,,,,1705-12-31,[P0304],,,[P0305],,
[I2549],,Catherine of_Brandenburg -Kustrin,,,,,female,,,,,,,,,,,,,
[I1075],,Catherine of_Russia,,,,,female,1788,,,,,,1819,,,,,,
[I1220],,Catherine of_Valois,,,,,female,1401-10-27,[P0098],,,,,1437-01-03,[P0417],,,[P0174],,
[I1302],,Catherine_I,,,,,female,1683,[P0479],,,,,1727,,,,,,
[I1299],,Catherine_II the_Great,,,,,female,1729-05-02,[P0477],,,,,1796-11-17,[P0251],,,,,
[I1993],,Ceawlin,,,,,male,,,,,,,593,,,,,,
[I2748],,Cecilia,,,,,female,1944,,,,,,,,,,,,
[I2763],,Cecilia,,,,,female,1971,,,,,,,,,,,,
[I1385],,Cecilia of_Holy_Trinity,,,,,female,,,,,,,1126-07-30,[P0516],,,,,
[I0524],,Cecilie,,,,,female,1917,,,,,,1975,,,,,,
[I0518],,Cecilie of_Mecklenburg- Schwerin,,,,,female,1886,,,,,,1954,,,,,,
[I2668],,Cecily (Olga),,,,,female,1839,,,,,,1891,,,,,,
[I2042],,Cedwalla,,,,,male,,,,,,,689,[P0605],,,,,
[I2141],,Celle,,,,,female,,,,,,,,,,,,,
[I2041],,Cenbert,,,,,male,,,,,,,661,,,,,,
[I2027],,Cenferth,,,,,male,,,,,,,,,,,,,
[I2026],,Cenfus,,,,,male,,,,,,,,,,,,,
[I2047],,Cenred,,,,,male,,,,,,,,,,,,,
[I2031],,Centwine,,,,,male,,,,,,,,,,,,,
[I2030],,Cenwealh,,,,,male,,,,,,,,,,,,,
[I2022],,Ceolric,,,,,male,,,,,,,597,,,,,,
[I2048],,Ceolwald,,,,,male,,,,,,,,,,,,,
[I2023],,Ceolwulf,,,,,male,,,,,,,,,,,,,
[I1991],,Cerdic,,,,,male,,,,,,,534,,,,,,
[I2038],,Chad,,,,,male,,,,,,,,,,,,,
[I0417],,Charlemagne,,,,,male,742-04-02,[P0197],,,,,814,,,,,,
[I0414],,Charles,,,,,male,1801,,,,,,1883,,,,,,
[I0415],,Charles,,,,,male,1766,,,,,,1806,,,,,,
[I0562],,Charles,,,,,male,1781,,,,,,1846,,,,,,
[I0711],,Charles,,,,,male,1666-07-04,[P0125],,,,,1667-06-20,[P0267],,,,,
[I1661],,Charles,,,,,male,1813,,,,,,1878,,,,,,
[I2415],,Charles,,,,,male,,,,,,,1685,,,,,,
[I2507],,Charles,,,,,male,1686,,,,,,1714,,,,,,
[I2551],,Charles,,,,,male,,,,,,,811,,,,,,
[I2569],,Charles,,,,,male,,,,,,,863,,,,,,
[I2854],,Charles,,,,,male,1680,,,,,,1729,,,,,,
[I2884],,Charles,,,,,male,1540,,,,,,1590,,,,,,
[I1693],,Charles Alexander of_Saxe-Weimar,,,,,male,1818,,,,,,1901,,,,,,
[I0574],,Charles Christian of_Nassau-Weilb,,,,,male,1735,,,,,,1788,,,,,,
[I0129],,Charles Edward,,,,,male,1884,,,,,,1954,,,,,,
[I2715],,Charles Edward,,,,,male,1966-07-14,,,,,,,,,,,,
[I1419],,Charles Frederick of_Holstein-,,,,,male,1700,,,,,,1739,,,,,,
[I0071],,Charles Haakon_VII,,,,,male,1872,[P0071],,,,,1957,,,,,,
[I0792],,Charles Lennox of_Richmond,,,,,male,1791,,,,,,1860,,,,,,
[I1716],,Charles Lennox of_Richmond,,,,,male,1764,,,,,,1819,,,,,,
[I1719],,Charles Lennox of_Richmond,,,,,male,1701,,,,,,1750,,,,,,
[I1720],,Charles Lennox of_Richmond,,,,,male,1672,,,,,,1723,,,,,,
[I0765],,Charles Louis,,,,,male,,,,,,,1680,,,,,,
[I2147],,Charles Louis Frederick,,,,,male,,,,,,,,,,,,,
[I2606],,Charles Lower_Lorraine,,,,,male,954,,,,,,986,,,,,,
[I2125],,Charles Philip,,,,,male,,,,,,,1690,,,,,,
[I2495],,Charles de_Valois,,,,,male,1270,[P0218],,,,,1325,,,,,,
[I2484],,Charles of_Anjou,,,,,male,,,,,,,,,,,,,
